c_days_from_compas,juv_other_count,start,juv_misd_count,juv_fel_count,days_b_screening_arrest,priors_count,r_days_from_arrest,decile_score,is_violent_recid,event,end,is_recid,sex,two_year_recid,two_year_recid_prob,age_cat
1.0,0,1,0,0,-1.0,13,0.0,7,0,0,36,1,Male,1,0.99036974,Greater than 45
26.0,0,0,0,0,-26.0,1,,1,0,0,786,0,Male,0,0.00032937777,Greater than 45
72.0,0,0,0,0,,1,,2,0,0,1177,0,Female,0,0.00034525286,Greater than 45
52.0,0,0,0,0,-51.0,3,,1,0,0,1009,0,Male,0,0.00027155486,Greater than 45
1.0,0,0,0,0,-1.0,2,,2,0,0,918,0,Male,0,0.00019238153,Greater than 45
31.0,0,0,0,0,22.0,6,0.0,1,0,1,22,1,Male,1,0.99870515,Greater than 45
56.0,0,0,0,0,-56.0,6,,6,0,0,744,0,Female,0,0.00026835053,Greater than 45
1.0,0,2,0,0,-1.0,2,,1,0,0,108,0,Male,0,0.0041157594,Greater than 45
1.0,0,16,0,0,0.0,8,,4,0,0,1151,0,Male,0,0.0005318994,Greater than 45
45.0,0,0,0,0,-45.0,1,,1,0,0,934,0,Male,0,0.00032480105,Greater than 45
1.0,0,187,0,0,-1.0,2,,1,0,0,946,0,Male,0,0.0005182482,Greater than 45
1.0,0,0,0,0,-1.0,0,,2,0,0,302,0,Male,0,0.0017081382,Greater than 45
1.0,0,0,0,0,-1.0,1,,1,0,1,310,1,Male,1,0.99642926,Greater than 45
1.0,0,0,0,0,-1.0,0,,1,0,0,760,0,Male,0,0.00024850358,Greater than 45
1.0,0,0,0,0,-1.0,23,0.0,8,0,1,9,1,Male,1,0.9989454,Greater than 45
0.0,0,20,0,0,0.0,1,,1,0,0,889,0,Male,0,0.00042439438,Greater than 45
10.0,0,0,0,0,-10.0,3,,1,1,1,943,1,Male,0,0.016832694,Greater than 45
0.0,0,71,0,0,0.0,8,,4,0,0,584,1,Male,0,0.88215894,Greater than 45
,0,0,0,0,,0,,3,0,1,449,1,Female,1,0.99783665,Greater than 45
1.0,0,358,0,0,-1.0,2,,3,0,0,1155,0,Male,0,0.0007566488,Greater than 45
4.0,0,0,0,0,-4.0,1,,1,0,0,879,0,Male,0,0.00032937777,Greater than 45
1.0,0,0,0,0,-1.0,7,,1,0,1,245,1,Male,1,0.9976386,Greater than 45
23.0,0,0,0,0,104.0,3,,6,0,0,104,0,Male,0,0.0023383186,Greater than 45
34.0,0,0,0,0,-34.0,1,,1,0,0,1108,0,Male,0,0.00041077958,Greater than 45
1.0,0,0,0,0,-1.0,0,0.0,1,1,1,169,1,Female,1,0.99694854,Greater than 45
1.0,0,0,0,0,-1.0,0,,2,0,0,883,0,Male,0,0.00023098414,Greater than 45
1.0,0,0,0,0,-1.0,0,,1,0,0,1174,0,Male,0,0.00030992454,Greater than 45
1.0,0,129,0,0,-1.0,11,,9,0,0,1060,0,Male,0,0.0019033181,Greater than 45
1.0,0,0,0,0,-1.0,0,,1,0,0,1051,0,Male,0,0.00029086825,Greater than 45
1.0,0,13,0,0,-1.0,0,,4,0,0,787,0,Male,0,0.00028602718,Greater than 45
1.0,0,0,0,0,-1.0,1,,1,0,0,1171,0,Male,0,0.00030992454,Greater than 45
1.0,0,0,0,0,-1.0,0,,1,0,0,973,0,Female,0,0.00025962616,Greater than 45
1.0,0,1,0,0,-1.0,0,,2,0,0,870,0,Female,0,0.00020163128,Greater than 45
562.0,0,0,0,0,,8,,6,0,1,571,1,Male,1,0.9946089,Greater than 45
1.0,0,25,0,0,0.0,3,0.0,6,0,1,43,1,Male,1,0.99847573,Greater than 45
13.0,0,0,0,0,-13.0,1,,1,0,0,1079,0,Male,0,0.00041077958,Greater than 45
322.0,0,0,0,0,-266.0,6,0.0,2,0,1,414,1,Male,1,0.99513227,Greater than 45
1.0,0,13,0,0,-1.0,3,,4,0,0,1066,0,Male,0,0.00029381958,Greater than 45
1.0,0,1,0,0,-1.0,2,,3,0,0,1133,0,Male,0,0.000242131,Greater than 45
0.0,0,2,0,0,0.0,0,,1,0,0,444,0,Male,0,0.00391132,Greater than 45
1.0,0,1,0,0,0.0,0,,1,0,0,741,0,Female,0,0.00029804226,Greater than 45
1.0,0,1,0,0,0.0,0,,1,0,0,842,0,Male,0,0.00029804226,Greater than 45
176.0,0,0,0,0,-176.0,6,,1,0,0,911,0,Male,0,0.0003680945,Greater than 45
7.0,0,26,0,0,-7.0,36,,6,0,0,148,1,Male,1,0.9946398,Greater than 45
1.0,0,0,0,0,,1,,1,0,0,1115,0,Male,0,0.0003545362,Greater than 45
2.0,0,0,0,0,-1.0,1,,1,0,0,826,0,Male,0,0.0002640195,Greater than 45
0.0,0,0,0,0,0.0,3,,3,0,0,96,0,Male,0,0.011142974,Greater than 45
1.0,0,0,0,0,-1.0,0,,1,0,0,1156,0,Male,0,0.00030992454,Greater than 45
1.0,0,4,0,0,0.0,3,,5,0,0,689,0,Male,0,0.0015287204,Greater than 45
1.0,0,0,0,0,-1.0,0,,1,0,0,900,0,Female,0,0.00024850358,Greater than 45
1834.0,0,0,0,0,,18,,8,0,0,1059,0,Male,0,0.0010581142,Greater than 45
1.0,0,0,0,0,-1.0,1,0.0,1,0,1,85,1,Female,1,0.9987884,Greater than 45
1.0,0,0,0,0,-1.0,1,,1,0,0,831,0,Female,0,0.00024850358,Greater than 45
1.0,0,0,0,0,-1.0,2,,1,0,0,968,0,Male,0,0.00021623785,Greater than 45
1183.0,0,0,0,0,,1,,1,0,0,780,0,Male,0,0.00042543924,Greater than 45
1.0,0,640,0,1,-1.0,23,,8,1,1,687,1,Male,1,0.99698395,Greater than 45
1.0,0,0,0,0,0.0,0,,1,0,0,1103,0,Female,0,0.0003972917,Greater than 45
312.0,0,0,0,0,-312.0,5,185.0,10,0,1,363,1,Male,1,0.99663806,Greater than 45
150.0,0,0,0,0,-150.0,2,,1,0,0,906,0,Male,0,0.0003677345,Greater than 45
1.0,0,11,0,0,-1.0,5,,3,0,0,158,0,Male,0,0.0028859633,Greater than 45
1.0,0,6,0,0,-1.0,4,0.0,1,0,1,233,1,Male,1,0.9981737,Greater than 45
1.0,0,0,0,0,-1.0,4,,1,0,0,408,0,Male,0,0.0010546121,Greater than 45
1.0,0,0,0,0,-1.0,0,,1,0,0,895,0,Male,0,0.00024850358,Greater than 45
1.0,0,109,0,0,-1.0,11,,6,0,0,1078,0,Male,0,0.0014906944,Greater than 45
23.0,0,0,0,0,-23.0,2,,1,0,0,183,0,Female,0,0.002421918,Greater than 45
2.0,0,58,0,0,-1.0,21,0.0,7,0,1,76,1,Male,1,0.99923813,Greater than 45
0.0,0,1,0,0,0.0,1,,1,0,1,135,1,Male,1,0.99812216,Greater than 45
1.0,0,25,0,0,-1.0,1,0.0,5,0,1,59,1,Male,1,0.9972934,Greater than 45
1.0,0,1,0,0,-1.0,4,,1,0,0,1165,0,Male,0,0.0002443211,Greater than 45
1.0,0,0,0,0,0.0,3,,2,0,0,758,0,Female,0,0.0002501202,Greater than 45
77.0,0,0,0,0,-83.0,16,,2,0,0,912,0,Male,0,0.0006652568,Greater than 45
1.0,0,9,0,0,-1.0,2,0.0,10,0,1,141,1,Female,1,0.99663204,Greater than 45
122.0,0,0,0,0,-122.0,16,,8,0,0,968,0,Female,0,0.0008074794,Greater than 45
1.0,0,1,0,0,-1.0,6,,5,0,1,162,1,Male,1,0.99773204,Greater than 45
1.0,0,0,0,0,-1.0,5,,3,0,1,7,1,Male,1,0.9985856,Greater than 45
3.0,0,0,0,0,-3.0,2,,1,0,0,195,0,Male,0,0.002428316,Greater than 45
1.0,0,5,0,0,-1.0,28,0.0,9,0,1,55,1,Male,1,0.9989471,Greater than 45
26.0,0,0,0,0,-26.0,2,,1,0,0,806,0,Male,0,0.00027433565,Greater than 45
1.0,0,3,0,0,-1.0,12,21.0,6,0,1,49,1,Male,1,0.99883145,Greater than 45
0.0,0,35,0,0,0.0,0,,1,0,0,1152,0,Male,0,0.00054582546,Greater than 45
1.0,0,0,0,0,-1.0,3,,1,0,0,765,0,Male,0,0.00019886148,Greater than 45
2.0,0,0,0,0,-2.0,0,,1,0,0,941,0,Male,0,0.0003235031,Greater than 45
3.0,0,0,0,0,-2.0,1,73.0,1,0,1,28,1,Male,1,0.99844617,Greater than 45
11.0,0,0,0,0,-11.0,1,,1,0,0,1149,0,Male,0,0.00041077958,Greater than 45
0.0,0,11,0,0,0.0,5,1.0,7,0,1,70,1,Male,1,0.9976572,Greater than 45
1.0,0,0,0,0,-1.0,0,,1,0,0,1138,0,Male,0,0.00030992454,Greater than 45
2.0,0,0,0,0,-2.0,0,,1,0,0,903,0,Female,0,0.00030964485,Greater than 45
1.0,0,27,0,0,-1.0,20,,3,0,0,104,0,Male,0,0.018226346,Greater than 45
1.0,0,14,0,0,0.0,33,173.0,6,0,1,383,1,Male,1,0.99857855,Greater than 45
1.0,0,0,0,0,-1.0,1,,1,0,0,508,0,Male,0,0.0017150203,Greater than 45
1.0,0,0,0,0,-1.0,4,,3,0,0,788,0,Male,0,0.00021163054,Greater than 45
0.0,0,1,0,0,0.0,12,,5,0,0,1112,0,Male,0,0.0008774632,Greater than 45
0.0,0,1,0,0,0.0,0,,1,0,0,808,0,Female,0,0.00032802494,Greater than 45
1.0,0,126,0,0,-1.0,10,0.0,7,0,1,426,1,Male,1,0.99668604,Greater than 45
1.0,0,128,0,0,-1.0,1,,7,0,1,299,1,Male,1,0.99721897,Greater than 45
1.0,0,0,0,0,61.0,0,0.0,8,1,1,61,1,Male,1,0.99020714,Greater than 45
0.0,0,1,0,0,0.0,4,,5,0,0,801,0,Male,0,0.00035273828,Greater than 45
1.0,0,0,0,0,0.0,1,,1,0,0,1108,0,Male,0,0.0003972917,Greater than 45
1.0,0,0,0,0,-1.0,2,143.0,6,0,1,279,1,Male,1,0.99775296,Greater than 45
1320.0,0,0,0,0,,1,,1,0,0,1143,0,Female,0,0.00053056894,Greater than 45
1.0,0,143,0,0,-1.0,6,,6,0,0,511,0,Male,0,0.0030802302,Greater than 45
1.0,0,16,0,0,-1.0,0,,1,0,0,1152,0,Female,0,0.00036073066,Greater than 45
9.0,0,0,0,0,-9.0,1,,1,0,0,791,0,Male,0,0.00032937777,Greater than 45
1.0,0,0,0,0,-1.0,3,,3,0,0,1153,0,Male,0,0.00025334762,Greater than 45
9.0,0,0,0,0,-8.0,1,,1,0,0,962,0,Male,0,0.0003441187,Greater than 45
0.0,0,0,0,0,0.0,2,0.0,1,0,0,138,1,Female,1,0.9955871,Greater than 45
1.0,0,0,0,0,-1.0,5,0.0,1,0,1,6,1,Male,1,0.99888724,Greater than 45
0.0,0,1,0,0,0.0,0,,1,0,1,717,1,Male,1,0.9887378,Greater than 45
1.0,0,0,0,0,-1.0,0,,1,0,0,954,0,Female,0,0.00025962616,Greater than 45
65.0,0,0,0,0,-65.0,17,72.0,5,0,1,159,1,Male,1,0.9979255,Greater than 45
1.0,0,0,0,0,0.0,0,,1,0,0,905,0,Female,0,0.00031856183,Greater than 45
1.0,0,0,0,0,0.0,0,,1,0,0,852,0,Male,0,0.00031856183,Greater than 45
0.0,0,4,0,0,0.0,9,0.0,3,0,1,299,1,Male,1,0.99847203,Greater than 45
1.0,0,0,0,0,-1.0,15,0.0,6,0,1,64,1,Male,1,0.9989906,Greater than 45
14.0,0,0,0,0,-14.0,4,,2,1,1,130,1,Female,1,0.9975764,Greater than 45
2.0,0,1,0,0,-1.0,0,,4,0,1,234,1,Female,1,0.998312,Greater than 45
0.0,0,1,0,0,0.0,1,,6,0,0,813,0,Female,0,0.0003703984,Greater than 45
1.0,0,1,0,0,-1.0,20,,9,0,0,788,0,Male,0,0.0007797535,Greater than 45
18.0,0,0,0,0,-18.0,2,1.0,2,1,1,511,1,Male,1,0.99518436,Greater than 45
10.0,0,0,0,0,-10.0,1,,1,0,0,1019,0,Male,0,0.00036427722,Greater than 45
1.0,0,1,0,0,-1.0,0,,1,0,0,878,0,Male,0,0.00021692533,Greater than 45
1.0,0,0,0,0,0.0,0,,1,0,0,789,0,Male,0,0.00031856183,Greater than 45
400.0,0,0,0,0,26.0,2,,3,0,0,26,0,Female,1,0.005191163,Greater than 45
1.0,0,5,0,0,-1.0,17,0.0,9,0,1,427,1,Male,1,0.99691343,Greater than 45
4.0,0,0,0,0,-3.0,3,0.0,1,0,1,133,1,Male,1,0.9987381,Greater than 45
2.0,0,0,0,0,-2.0,2,,1,0,0,1064,0,Male,0,0.0003018657,Greater than 45
0.0,0,2,0,0,0.0,2,0.0,5,0,1,149,1,Male,1,0.99790454,Greater than 45
0.0,0,33,0,0,0.0,20,0.0,7,0,1,167,1,Male,1,0.9990226,Greater than 45
1.0,0,0,0,0,-1.0,0,,1,0,0,1129,0,Male,0,0.00030992454,Greater than 45
0.0,0,0,0,0,0.0,9,,3,0,1,33,1,Female,1,0.99842393,Greater than 45
7.0,0,0,0,0,-6.0,1,,1,0,0,742,0,Male,0,0.00032937777,Greater than 45
1.0,0,19,0,0,-1.0,2,,8,0,0,148,0,Female,1,0.0058188974,Greater than 45
1.0,0,248,0,0,-1.0,18,0.0,8,0,0,255,1,Male,1,0.9915132,Greater than 45
1.0,0,1,0,0,-1.0,0,,1,0,0,1068,0,Male,0,0.00027054313,Greater than 45
1.0,0,2,0,0,-1.0,0,,1,0,0,1177,0,Male,0,0.00028754355,Greater than 45
1.0,0,2,0,0,-1.0,0,,1,0,0,1179,0,Male,0,0.00028754355,Greater than 45
1.0,0,2,0,0,-1.0,0,0.0,4,0,1,102,1,Male,1,0.9985032,Greater than 45
0.0,0,1,0,0,0.0,2,,6,0,0,1096,0,Male,0,0.00043948082,Greater than 45
106.0,0,0,0,0,-106.0,1,,1,0,0,913,0,Female,0,0.00038535983,Greater than 45
0.0,0,2,0,0,0.0,11,,9,0,0,935,0,Male,0,0.0007210341,Greater than 45
0.0,0,1,0,0,0.0,0,,1,0,0,369,0,Female,1,0.0042027887,Greater than 45
1.0,0,24,0,0,-1.0,8,,1,0,0,1050,0,Male,0,0.00032957408,Greater than 45
1.0,0,30,0,0,-1.0,19,0.0,10,0,0,111,1,Female,1,0.9967237,Greater than 45
47.0,0,0,0,0,-47.0,18,1.0,2,0,0,56,1,Male,0,0.9844111,Greater than 45
0.0,0,0,0,0,0.0,0,,1,0,0,921,0,Female,0,0.00035060785,Greater than 45
2.0,0,0,0,0,-1.0,0,,1,0,0,767,0,Male,0,0.0002640195,Greater than 45
1.0,0,139,0,0,-1.0,11,,6,0,0,903,0,Male,0,0.001195548,Greater than 45
1.0,0,10,0,0,-1.0,0,,7,0,0,360,0,Male,0,0.0017159447,Greater than 45
1.0,0,0,0,0,-1.0,0,,1,0,0,890,0,Male,0,0.00024850358,Greater than 45
1.0,0,0,0,0,,2,,3,0,0,1044,0,Male,0,0.00028309226,Greater than 45
1.0,0,1,0,0,0.0,0,,1,0,0,1181,0,Male,0,0.00037170298,Greater than 45
185.0,0,0,0,0,,7,,6,0,0,928,0,Male,0,0.00034341865,Greater than 45
4.0,0,0,0,0,-3.0,2,,4,0,0,739,0,Male,0,0.00024384378,Greater than 45
1.0,0,5,0,1,-1.0,25,-1.0,10,1,0,18,1,Male,0,0.97168916,Greater than 45
1.0,0,38,0,1,-1.0,9,0.0,8,1,1,64,1,Male,1,0.99743575,Greater than 45
1.0,0,27,0,0,-1.0,4,0.0,7,0,1,46,1,Male,1,0.99830806,Greater than 45
2.0,0,0,0,0,-1.0,4,0.0,1,0,0,827,1,Male,0,0.006707242,Greater than 45
1.0,0,0,0,0,-1.0,0,,1,0,0,850,0,Male,0,0.00024850358,Greater than 45
0.0,0,1,0,0,0.0,1,,2,0,0,72,0,Male,0,0.008541419,Greater than 45
1.0,0,0,0,0,-1.0,0,,1,0,0,938,0,Male,0,0.00024850358,Greater than 45
1.0,0,4,0,0,-1.0,0,,1,0,0,75,0,Male,0,0.00466427,Greater than 45
9.0,0,0,0,0,,5,,1,0,1,389,1,Male,1,0.996833,Greater than 45
1.0,0,1,0,0,-1.0,0,,1,0,0,805,0,Female,0,0.00021692533,Greater than 45
847.0,0,0,0,0,-1.0,1,,1,0,1,746,1,Male,0,0.016554674,Greater than 45
1.0,0,0,0,0,-1.0,3,,2,0,0,793,0,Male,0,0.00018484113,Greater than 45
1.0,0,2,0,0,-1.0,1,0.0,1,0,1,33,1,Male,1,0.9981413,Greater than 45
8.0,0,0,0,0,-1.0,1,,2,0,0,1054,0,Female,0,0.00028724325,Greater than 45
1.0,0,2,0,0,-1.0,0,,1,0,1,108,1,Male,1,0.9981306,Greater than 45
1.0,0,0,0,0,-1.0,0,,1,0,0,844,0,Female,0,0.00024850358,Greater than 45
0.0,0,9,0,0,0.0,2,1.0,2,0,1,91,1,Male,1,0.9978522,Greater than 45
4696.0,0,0,0,0,-5.0,1,,5,0,0,953,0,Male,0,0.00044706542,Greater than 45
4.0,0,0,0,0,-4.0,1,,1,0,1,434,1,Female,1,0.99683386,Greater than 45
1.0,0,0,0,0,-1.0,3,,1,0,1,270,1,Male,1,0.997626,Greater than 45
2302.0,0,219,0,0,-1.0,3,,9,0,0,1116,0,Male,0,0.0015649789,Greater than 45
0.0,0,1,0,0,0.0,0,,1,0,0,923,0,Male,0,0.00032802494,Greater than 45
1.0,0,0,0,0,0.0,0,,1,0,0,774,0,Female,0,0.00031856183,Greater than 45
1.0,0,0,0,0,-1.0,0,,1,0,0,732,0,Male,0,0.00024850358,Greater than 45
1.0,0,127,0,0,-1.0,1,,3,0,0,1052,0,Male,0,0.00075161,Greater than 45
59.0,0,0,0,0,-58.0,4,0.0,5,0,1,617,1,Male,1,0.99281996,Greater than 45
4.0,0,0,0,0,-4.0,0,,4,0,0,907,0,Male,0,0.00032014473,Greater than 45
3.0,0,0,0,0,-3.0,0,1.0,5,0,1,145,1,Male,1,0.9970387,Greater than 45
1.0,0,1,0,0,-1.0,0,,1,0,0,1133,0,Male,0,0.00027054313,Greater than 45
1.0,0,78,0,0,-1.0,4,0.0,5,1,1,79,1,Male,1,0.9975357,Greater than 45
,0,0,0,0,,0,,1,0,0,1087,0,Male,0,0.00038645024,Greater than 45
0.0,0,2,0,0,0.0,6,0.0,1,0,1,682,1,Male,1,0.9931251,Greater than 45
111.0,0,0,0,0,-111.0,1,,1,0,0,771,0,Male,0,0.00038535983,Greater than 45
1.0,0,46,0,0,-1.0,2,,1,0,0,1161,0,Male,0,0.00030141647,Greater than 45
1173.0,0,0,0,0,,2,,2,0,0,935,0,Male,0,0.00034619964,Greater than 45
1.0,0,0,0,0,0.0,17,,4,0,0,891,0,Male,0,0.0007673217,Greater than 45
0.0,0,2,0,0,0.0,20,1.0,3,0,1,703,1,Male,1,0.99377656,Greater than 45
1.0,0,0,0,0,-1.0,0,,1,0,0,732,0,Male,0,0.00024850358,Greater than 45
7604.0,0,0,0,0,-1.0,1,,1,0,0,1070,0,Male,0,0.00046381715,Greater than 45
1.0,0,0,0,0,-1.0,1,,1,0,0,760,0,Male,0,0.00024850358,Greater than 45
0.0,0,1,0,0,0.0,0,,1,0,0,803,0,Male,0,0.00032802494,Greater than 45
1.0,0,1,0,0,0.0,0,,1,0,1,43,1,Male,1,0.99822813,Greater than 45
1.0,0,0,0,0,-1.0,0,,1,0,0,837,0,Female,0,0.00024850358,Greater than 45
1.0,0,1,0,0,0.0,1,0.0,2,0,1,22,1,Male,1,0.9985311,Greater than 45
1.0,0,0,0,0,-1.0,5,,1,0,0,974,0,Female,0,0.00021644951,Greater than 45
106.0,0,0,0,0,-106.0,8,,3,0,0,864,0,Male,0,0.000352208,Greater than 45
1.0,0,0,0,0,-1.0,0,,1,0,0,1103,0,Male,0,0.00030992454,Greater than 45
1.0,0,0,0,0,0.0,2,,1,0,0,1068,0,Male,0,0.0003492869,Greater than 45
1.0,0,11,0,0,-1.0,5,,4,0,0,1078,0,Male,0,0.0003261577,Greater than 45
1.0,0,1,0,0,-1.0,2,,1,0,0,925,0,Male,0,0.00018067184,Greater than 45
0.0,0,1,0,0,0.0,0,,1,0,0,785,0,Female,0,0.00032802494,Greater than 45
1.0,0,25,0,0,-1.0,17,0.0,10,0,1,419,1,Male,1,0.997401,Greater than 45
1.0,0,3,0,0,-1.0,30,,6,0,1,13,1,Female,1,0.99905187,Greater than 45
0.0,0,0,0,0,0.0,4,,3,0,0,1098,0,Male,0,0.00047042198,Greater than 45
1.0,0,0,0,0,-1.0,0,,1,0,0,837,0,Male,0,0.00024850358,Greater than 45
1.0,0,0,0,0,-1.0,2,,3,0,0,1118,0,Male,0,0.00026368193,Greater than 45
1.0,0,117,0,0,-1.0,19,,7,0,0,892,0,Male,0,0.0015526895,Greater than 45
1.0,0,4,0,0,0.0,4,,5,0,0,1042,0,Female,0,0.00031907184,Greater than 45
1.0,0,0,0,0,-1.0,1,0.0,3,1,1,528,1,Male,1,0.99762374,Greater than 45
1.0,0,0,0,0,-1.0,10,,3,0,1,706,1,Male,1,0.9894462,Greater than 45
1.0,0,0,0,0,0.0,2,,1,0,0,1184,0,Male,0,0.0003492869,Greater than 45
0.0,0,1,0,0,0.0,0,,1,0,0,1092,0,Male,0,0.0004090924,Greater than 45
0.0,0,0,0,0,0.0,0,,1,0,0,867,0,Male,0,0.00035060785,Greater than 45
0.0,0,19,0,0,0.0,1,0.0,3,1,1,76,1,Male,1,0.9976714,Greater than 45
0.0,0,13,0,0,0.0,2,,1,0,0,1107,0,Male,0,0.00044972575,Greater than 45
0.0,0,0,0,0,0.0,0,,1,0,0,1047,0,Female,0,0.00041037178,Greater than 45
43.0,0,0,0,0,-42.0,2,,1,0,1,138,1,Female,1,0.99827945,Greater than 45
49.0,0,0,0,0,-48.0,1,,3,0,0,815,0,Female,0,0.00033875927,Greater than 45
37.0,0,0,0,0,-36.0,3,,1,0,0,101,0,Male,0,0.005876732,Greater than 45
14.0,0,0,0,0,-14.0,8,,2,0,0,1099,0,Male,0,0.00035491784,Greater than 45
1.0,0,0,0,0,-1.0,7,,2,0,0,1151,0,Male,0,0.00024016907,Greater than 45
1.0,0,1,0,0,-1.0,3,0.0,1,0,1,281,1,Male,1,0.9981229,Greater than 45
2.0,0,0,0,0,-2.0,1,,1,0,0,980,0,Male,0,0.0003235031,Greater than 45
1.0,0,0,0,0,127.0,0,0.0,1,0,0,127,1,Female,1,0.9632531,Greater than 45
1.0,0,0,0,0,0.0,1,,1,0,1,421,1,Male,1,0.9967919,Greater than 45
246.0,0,0,0,0,-246.0,1,,6,1,1,488,1,Male,1,0.9950806,Greater than 45
28.0,0,0,0,0,-28.0,1,,1,0,0,1136,0,Female,0,0.00041077958,Greater than 45
0.0,0,0,0,0,-1.0,5,,4,0,0,759,0,Male,0,0.00025271313,Greater than 45
147.0,0,0,0,0,,1,,1,0,0,1148,0,Male,0,0.00053056894,Greater than 45
1832.0,0,33,0,0,0.0,6,,7,0,0,1044,0,Female,0,0.0006310976,Greater than 45
1.0,0,0,0,0,0.0,0,,1,0,0,911,0,Female,0,0.00031856183,Greater than 45
0.0,0,13,0,0,0.0,0,,7,0,0,1108,0,Female,0,0.0005485595,Greater than 45
60.0,0,0,0,0,-60.0,1,1.0,2,1,1,226,1,Female,1,0.995112,Greater than 45
2.0,0,0,0,0,-1.0,0,,1,0,0,912,0,Male,0,0.0002640195,Greater than 45
0.0,0,1,0,0,0.0,3,,2,0,0,1084,0,Male,0,0.00038442196,Greater than 45
3.0,0,0,0,0,-3.0,4,,5,0,0,827,0,Male,0,0.00025582782,Greater than 45
1.0,0,0,0,0,-1.0,3,,1,0,0,411,0,Male,0,0.0010834396,Greater than 45
100.0,0,0,0,0,,2,,1,0,0,1092,0,Male,0,0.00042614146,Greater than 45
175.0,0,0,0,0,-175.0,12,,2,0,0,921,0,Female,0,0.0007754922,Greater than 45
0.0,0,4,0,0,0.0,8,,6,0,1,314,1,Male,1,0.9962212,Greater than 45
1.0,0,0,0,0,-1.0,0,,1,0,0,923,0,Male,0,0.00024850358,Greater than 45
480.0,0,0,0,0,336.0,3,,3,0,0,336,0,Female,1,0.003115447,Greater than 45
1.0,0,0,0,0,-1.0,12,,3,0,0,409,0,Male,0,0.0032307783,Greater than 45
0.0,0,1,0,0,0.0,0,,2,0,0,909,0,Male,0,0.00032802494,Greater than 45
1.0,0,0,0,0,-1.0,3,0.0,1,0,0,177,1,Male,0,0.9585577,Greater than 45
95.0,0,0,0,0,-95.0,1,,2,0,0,1019,0,Female,0,0.00042618837,Greater than 45
9.0,0,0,0,0,-9.0,2,,3,0,0,893,0,Male,0,0.0002861259,Greater than 45
2.0,0,0,0,0,-1.0,5,,2,0,0,1004,0,Female,0,0.00021375177,Greater than 45
1.0,0,0,0,0,-1.0,1,,3,0,0,1080,0,Female,0,0.00031658687,Greater than 45
1.0,0,0,0,0,0.0,4,,1,0,0,129,0,Male,0,0.0063239015,Greater than 45
1.0,0,183,0,0,-1.0,1,,5,0,0,1100,0,Male,0,0.0008393415,Greater than 45
